commit	val_bpb	memory_gb	status	description
baseline	1.411328	0.0	keep	Experiment run
baseline	1.416071	0.0	keep	Experiment run
baseline	1.412668	0.0	keep	Experiment run
baseline	1.421168	0.0	keep	Experiment run
baseline	1.41422	0.0	keep	Experiment run
baseline	1.411179	0.0	keep	Experiment run
baseline	1.409513	0.0	keep	Experiment run
baseline	1.412771	0.0	keep	Experiment run
baseline	1.409709	0.0	keep	Experiment run
baseline	1.422445	0.0	keep	Experiment run
baseline	1.416112	0.0	keep	Experiment run
baseline	1.418537	0.0	keep	Experiment run
baseline	1.423461	0.0	keep	Experiment run
baseline	1.451428	0.0	keep	Experiment run
